zip,city,street,state,visited
27846,JAMESVILLE,1840 Main St,NC,true
27947,JARVISBURG,7066 CARATOKE HWY,NC,false
28640,JEFFERSON,410 E Main St,NC,false
28641,JONAS RIDGE,9042 NC-181,NC,false
28642,JONESVILLE,127 N Bridge St,NC,true
27283,JULIAN,6505 Liberty Rd,NC,true
28081,KANNAPOLIS,1040 DALE EARNHARDT BLVD,NC,false
27847,KELFORD,108 S Main St,NC,false
28448,KELLY,18529 NC-53 E,NC,false
28349,KENANSVILLE,106 N Main St,NC,false
27542,KENLY,102 N Gardner Ave,NC,false
27284,KERNERSVILLE,325 W MOUNTAIN ST,NC,false
27948,KILL DEVIL HILLS,302 S Croatan Hwy,NC,true
27021,KING,603 S MAIN ST,NC,false
28086,KINGS MOUNTAIN,115 E GOLD ST,NC,false
28501,KINSTON,208 E CASWELL ST,NC,true
27543,KIPLING,34 Neill Smith Rd,NC,true
27544,KITTRELL,1400 US Highway 1 S,NC,true
27949,KITTY HAWK,3841 N CROATAN HWY,NC,false
27545,KNIGHTDALE,1003 Mulford Ct,NC,true
27950,KNOTTS ISLAND,407 KNOTTS ISLAND RD,NC,false
28449,KURE BEACH,237 Fort Fisher Blvd N,NC,false
28551,LA GRANGE,209 S Caswell St,NC,false
28745,LAKE JUNALUSKA,60 Old Clyde Rd,NC,false
28746,LAKE LURE,2432 Memorial Hwy,NC,false
28747,LAKE TOXAWAY,1320 Blue Ridge Rd,NC,false
28450,LAKE WACCAMAW,103 Chauncey Town Rd,NC,false
28350,LAKEVIEW,278 Camp Easter Road,NC,true
28088,LANDIS,230 E Ryder Ave,NC,false
28643,LANSING,9294 NC-194 N,NC,false
28089,LATTIMORE,306 E W Main St,NC,false
28351,LAUREL HILL,9140 Morgan St,NC,false
28644,LAUREL SPRINGS,12533 NC-18 S,NC,false
28352,LAURINBURG,109 S GILL ST,NC,false
28090,LAWNDALE,241 E Main St,NC,false
27022,LAWSONVILLE,3471 Piney Grove Church Road,NC,false
27291,LEASBURG,7330 U.S. Hwy 158 E,NC,true
28748,LEICESTER,2520 New Leicester Hwy,NC,false
28451,LELAND,1123 Village Rd NE,NC,false
28355,LEMON SPRINGS,7246 Lemon Springs Road,NC,true
28645,LENOIR,114 RIDGE ST NW,NC,false
27849,LEWISTON WOODVILLE,125 Main St,NC,false
27023,LEWISVILLE,6524 Shallowford Rd,NC,false
27292,LEXINGTON,110 N State St,NC,false
27298,LIBERTY,416 W SWANNANOA AVE,NC,true
28091,LILESVILLE,103 E Wall St,NC,false
27546,LILLINGTON,901 S 8th St,NC,true
28092,LINCOLNTON,326 E MAIN ST,NC,false
28356,LINDEN,4764 Main St,NC,true
28646,LINVILLE,4235 Mitchell Ave,NC,false
28647,LINVILLE FALLS,8890 NC-183,NC,true
27299,LINWOOD,4276 OLD LINWOOD RD,NC,false
28749,LITTLE SWITZERLAND,9455 NC-226A,NC,true
27850,LITTLETON,109 Mosby Ave,NC,true
28097,LOCUST,206 MAIN ST W,NC,false
28452,LONGWOOD,2165 Longwood Rd NW,NC,false
